,Канал: 0,Канал: 1
123118,-0.439,2.236
123260,-0.527,2.285
123402,-0.498,2.324
123544,-0.449,2.354
123686,-0.537,2.393
123828,-0.469,2.412
123970,-0.557,2.441
124112,-0.605,2.490
124254,-0.469,2.510
124396,-0.459,2.529
124538,-0.576,2.568
124680,-0.557,2.607
124822,-0.625,2.637
124964,-0.664,2.686
125107,-0.654,2.744
125249,-0.713,2.813
125391,-0.615,2.861
125533,-0.693,2.910
125675,-0.635,2.930
125817,-0.703,2.959
125959,-0.703,2.959
126101,-0.703,2.930
126243,-0.703,2.881
126385,-0.762,2.783
126527,-0.645,2.656
126669,-0.723,2.559
126811,-0.654,2.471
126953,-0.684,2.354
127095,-0.693,2.275
127237,-0.840,2.168
127379,-0.742,2.051
127521,-0.635,1.943
127663,-0.713,1.846
127805,-0.664,1.719
127947,-0.654,1.582
128089,-0.713,1.465
128231,-0.820,1.309
128373,-0.713,1.133
128515,-0.732,0.977
128657,-0.801,0.811
128799,-0.811,0.654
128941,-0.693,0.518
129083,-0.635,0.361
129225,-0.605,0.244
129367,-0.596,0.098
129509,-0.703,-0.029
129651,-0.771,-0.166
129793,-0.664,-0.293
129935,-0.771,-0.439
130077,-0.566,-0.566
130219,-0.576,-0.684
130361,-0.566,-0.811
130503,-0.420,-0.928
130645,-0.488,-1.035
130787,-0.381,-1.113
130929,-0.420,-1.221
131071,-0.430,-1.309
131213,-0.303,-1.387
131355,-0.313,-1.455
131497,-0.264,-1.533
131639,-0.215,-1.592
131781,-0.156,-1.670
131923,-0.078,-1.758
132065,-0.010,-1.797
132207,0.078,-1.875
132349,-0.010,-1.934
132491,0.137,-2.012
132633,0.098,-2.080
132775,0.176,-2.139
132917,0.195,-2.207
133059,0.137,-2.246
133201,0.166,-2.285
133343,0.225,-2.314
133485,0.264,-2.354
133627,0.254,-2.393
133769,0.469,-2.432
133911,0.303,-2.471
134053,0.313,-2.510
134195,0.508,-2.529
134337,0.420,-2.549
134479,0.449,-2.578
134621,0.469,-2.598
134763,0.527,-2.646
134905,0.410,-2.676
135047,0.488,-2.715
135189,0.566,-2.783
135331,0.469,-2.832
135473,0.391,-2.881
135615,0.508,-2.930
135757,0.547,-2.959
135899,0.527,-2.969
136041,0.586,-2.969
136183,0.625,-2.939
136325,0.547,-2.891
136467,0.596,-2.783
136609,0.635,-2.646
136751,0.527,-2.549
