,Канал: 0,Канал: 1
74148,0.195,1.211
74259,0.068,1.279
74370,0.176,1.338
74481,-0.029,1.406
74592,0.049,1.475
74703,0.068,1.553
74814,-0.029,1.611
74925,-0.078,1.660
75036,-0.088,1.719
75147,-0.234,1.768
75258,-0.186,1.816
75369,-0.234,1.885
75480,-0.215,1.934
75591,-0.244,1.973
75702,-0.313,2.031
75813,-0.244,2.080
75924,-0.283,2.148
76035,-0.322,2.197
76146,-0.508,2.227
76257,-0.400,2.275
76368,-0.430,2.295
76479,-0.479,2.334
76590,-0.469,2.363
76701,-0.410,2.393
76812,-0.566,2.422
76923,-0.566,2.451
77034,-0.479,2.471
77145,-0.498,2.500
77256,-0.527,2.520
77367,-0.537,2.549
77478,-0.586,2.559
77589,-0.547,2.578
77700,-0.586,2.617
77811,-0.596,2.637
77922,-0.635,2.666
78033,-0.605,2.715
78144,-0.547,2.773
78255,-0.625,2.793
78366,-0.645,2.852
78477,-0.752,2.910
78588,-0.781,2.939
78699,-0.645,2.988
78810,-0.752,3.018
78921,-0.654,3.037
79032,-0.732,3.037
79143,-0.732,3.027
79254,-0.752,3.008
79365,-0.732,2.979
79476,-0.820,2.920
79587,-0.762,2.813
79698,-0.742,2.715
79809,-0.781,2.637
79920,-0.791,2.568
80031,-0.752,2.490
80142,-0.869,2.402
80253,-0.713,2.324
80364,-0.752,2.266
80475,-0.771,2.178
80586,-0.781,2.090
80697,-0.791,2.012
80808,-0.742,1.904
80919,-0.723,1.816
81030,-0.723,1.729
81141,-0.674,1.621
81252,-0.693,1.514
81363,-0.801,1.406
81474,-0.771,1.270
81585,-0.781,1.162
81696,-0.742,1.016
81807,-0.732,0.879
81918,-0.693,0.752
82029,-0.723,0.625
82140,-0.752,0.527
82251,-0.742,0.400
82362,-0.713,0.313
82473,-0.645,0.186
82584,-0.625,0.098
82695,-0.703,-0.020
82806,-0.674,-0.117
82917,-0.654,-0.244
83028,-0.713,-0.332
83139,-0.762,-0.439
83250,-0.605,-0.557
83361,-0.684,-0.635
83472,-0.713,-0.723
83583,-0.498,-0.820
83694,-0.596,-0.918
83805,-0.664,-1.006
83916,-0.469,-1.084
84027,-0.566,-1.172
84138,-0.449,-1.230
84249,-0.410,-1.299
84360,-0.391,-1.357
84471,-0.303,-1.426
84582,-0.410,-1.484
84693,-0.146,-1.563
84804,-0.225,-1.611
84915,-0.156,-1.660
85026,-0.098,-1.729
85137,-0.088,-1.787
85248,-0.039,-1.826
85359,0.049,-1.875
85470,0.117,-1.934
85581,0.098,-1.992
85692,-0.010,-2.031
85803,0.166,-2.090
85914,0.078,-2.158
86025,0.273,-2.188
86136,0.225,-2.236
86247,0.205,-2.275
86358,0.215,-2.314
86469,0.215,-2.344
86580,0.205,-2.373
86691,0.283,-2.412
86802,0.264,-2.432
86913,0.303,-2.471
87024,0.313,-2.490
87135,0.342,-2.510
87246,0.332,-2.549
87357,0.303,-2.559
87468,0.391,-2.598
87579,0.352,-2.607
87690,0.303,-2.637
87801,0.410,-2.656
87912,0.430,-2.676
88023,0.449,-2.705
88134,0.508,-2.744
88245,0.488,-2.773
88356,0.420,-2.813
88467,0.410,-2.891
88578,0.439,-2.930
88689,0.469,-2.959
88800,0.547,-2.988
88911,0.479,-3.008
89022,0.527,-3.037
89133,0.557,-3.027
89244,0.625,-3.027
89355,0.723,-3.008
89466,0.664,-2.969
89577,0.459,-2.920
89688,0.557,-2.783
89799,0.537,-2.695
89910,0.713,-2.627
90021,0.703,-2.539
90132,0.635,-2.480
90243,0.566,-2.383
90354,0.566,-2.305
90465,0.488,-2.236
90576,0.566,-2.148
90687,0.566,-2.041
90798,0.537,-1.973
90909,0.566,-1.865
91020,0.537,-1.758
91131,0.586,-1.680
91242,0.527,-1.563
91353,0.625,-1.455
91464,0.498,-1.328
91575,0.547,-1.201
91686,0.586,-1.074
91797,0.547,-0.938
91908,0.566,-0.811
92019,0.479,-0.693
92130,0.537,-0.566
92241,0.488,-0.469
92352,0.635,-0.332
92463,0.488,-0.234
92574,0.479,-0.137
92685,0.498,-0.020
92796,0.322,0.088
92907,0.527,0.176
93018,0.566,0.303
93129,0.469,0.400
93240,0.488,0.508
93351,0.498,0.605
93462,0.430,0.703
93573,0.342,0.811
93684,0.332,0.879
93795,0.215,0.967
93906,0.381,1.045
94017,0.293,1.113
94128,0.195,1.182
94239,0.264,1.270
94350,0.166,1.338
94461,0.078,1.396
94572,-0.049,1.436
94683,0.010,1.514
94794,-0.088,1.592
94905,-0.020,1.650
95016,-0.137,1.699
95127,-0.078,1.758
95238,-0.166,1.816
95349,-0.215,1.865
95460,-0.215,1.904
95571,-0.391,1.973
95682,-0.313,2.031
95793,-0.342,2.070
95904,-0.293,2.139
96015,-0.400,2.178
96126,-0.332,2.207
96237,-0.381,2.256
96348,-0.381,2.295
96459,-0.449,2.324
96570,-0.410,2.344
96681,-0.469,2.373
96792,-0.361,2.402
96903,-0.576,2.432
97014,-0.479,2.461
97125,-0.537,2.471
97236,-0.693,2.510
97347,-0.518,2.529
97458,-0.605,2.549
97569,-0.586,2.578
97680,-0.586,2.598
97791,-0.605,2.617
97902,-0.674,2.637
98013,-0.605,2.666
98124,-0.605,2.705
98235,-0.635,2.744
98346,-0.635,2.773
98457,-0.811,2.822
98568,-0.713,2.871
98679,-0.635,2.910
98790,-0.713,2.930
98901,-0.645,2.969
99012,-0.703,2.979
99123,-0.635,2.979
99234,-0.693,2.969
99345,-0.732,2.939
99456,-0.693,2.891
99567,-0.811,2.852
99678,-0.771,2.744
99789,-0.762,2.646
99900,-0.771,2.559
100011,-0.742,2.500
100122,-0.684,2.422
100233,-0.771,2.363
100344,-0.762,2.266
100455,-0.732,2.197
100566,-0.732,2.109
100677,-0.762,2.031
100788,-0.645,1.943
100899,-0.635,1.836
101010,-0.732,1.748
101121,-0.615,1.650
101232,-0.713,1.543
101343,-0.674,1.426
101454,-0.742,1.299
101565,-0.723,1.182
101676,-0.713,1.055
101787,-0.723,0.889
101898,-0.801,0.791
102009,-0.811,0.664
102120,-0.723,0.557
102231,-0.674,0.439
102342,-0.684,0.332
102453,-0.684,0.215
102564,-0.654,0.127
102675,-0.762,0.010
102786,-0.654,-0.098
102897,-0.674,-0.195
103008,-0.664,-0.313
103119,-0.557,-0.410
103230,-0.625,-0.518
103341,-0.537,-0.615
103452,-0.508,-0.703
103563,-0.645,-0.801
103674,-0.479,-0.889
103785,-0.488,-0.977
103896,-0.469,-1.064
104007,-0.449,-1.133
104118,-0.381,-1.191
104229,-0.391,-1.279
104340,-0.361,-1.348
104451,-0.313,-1.416
104562,-0.176,-1.455
104673,-0.244,-1.533
104784,-0.127,-1.582
104895,-0.107,-1.631
105006,-0.107,-1.709
105117,-0.049,-1.738
105228,-0.029,-1.816
105339,-0.098,-1.855
105450,0.029,-1.904
105561,0.088,-1.963
105672,0.107,-2.021
105783,0.117,-2.070
105894,0.195,-2.129
106005,0.293,-2.178
106116,0.107,-2.217
106227,0.146,-2.246
106338,0.176,-2.285
106449,0.166,-2.324
106560,0.166,-2.363
106671,0.215,-2.373
106782,0.293,-2.402
106893,0.352,-2.441
107004,0.352,-2.471
107115,0.352,-2.500
107226,0.303,-2.520
107337,0.293,-2.539
107448,0.332,-2.568
107559,0.332,-2.588
107670,0.322,-2.617
107781,0.400,-2.637
107892,0.488,-2.656
108003,0.371,-2.686
108114,0.508,-2.705
108225,0.615,-2.744
108336,0.430,-2.773
108447,0.488,-2.822
108558,0.488,-2.861
108669,0.527,-2.900
108780,0.498,-2.920
108891,0.557,-2.979
109002,0.537,-2.979
109113,0.547,-2.979
109224,0.547,-2.988
109335,0.518,-2.969
109446,0.537,-2.949
109557,0.547,-2.910
109668,0.547,-2.832
109779,0.586,-2.715
109890,0.576,-2.637
110001,0.498,-2.559
110112,0.625,-2.480
110223,0.615,-2.393
110334,0.586,-2.344
110445,0.518,-2.236
110556,0.547,-2.158
110667,0.488,-2.070
110778,0.576,-1.982
110889,0.537,-1.895
111000,0.479,-1.787
111111,0.488,-1.699
111222,0.537,-1.592
111333,0.596,-1.484
111444,0.557,-1.348
111555,0.576,-1.230
111666,0.527,-1.104
111777,0.547,-0.977
111888,0.410,-0.859
111999,0.459,-0.723
112110,0.488,-0.635
112221,0.596,-0.498
112332,0.557,-0.381
112443,0.547,-0.273
112554,0.518,-0.166
