,Канал: 0,Канал: 1
179500,-0.371,-1.523
179750,-0.361,-1.680
180000,-0.205,-1.846
180250,-0.078,-1.963
180500,0.000,-2.090
180750,0.020,-2.217
181000,0.088,-2.354
181250,0.186,-2.461
181500,0.264,-2.539
181750,0.225,-2.617
182000,0.205,-2.705
182250,0.342,-2.754
182500,0.342,-2.813
182750,0.459,-2.881
183000,0.488,-2.949
183250,0.439,-3.057
183500,0.488,-3.184
183750,0.420,-3.281
184000,0.547,-3.340
184250,0.654,-3.340
184500,0.605,-3.252
184750,0.605,-3.027
185000,0.566,-2.822
185250,0.732,-2.627
185500,0.547,-2.422
185750,0.508,-2.227
186000,0.518,-2.002
186250,0.605,-1.748
186500,0.518,-1.436
186750,0.537,-1.133
187000,0.527,-0.811
187250,0.566,-0.537
187500,0.547,-0.264
187750,0.547,0.000
188000,0.508,0.273
188250,0.537,0.518
188500,0.537,0.752
188750,0.430,0.967
189000,0.391,1.152
189250,0.205,1.338
189500,0.146,1.514
189750,-0.049,1.670
190000,-0.107,1.816
190250,-0.186,1.953
190500,-0.254,2.090
190750,-0.254,2.207
191000,-0.400,2.334
191250,-0.410,2.441
191500,-0.566,2.529
191750,-0.430,2.598
192000,-0.479,2.676
192250,-0.615,2.715
192500,-0.635,2.803
192750,-0.654,2.861
193000,-0.674,2.939
193250,-0.732,3.037
193500,-0.732,3.164
193750,-0.850,3.271
194000,-0.869,3.320
194250,-0.869,3.301
194500,-0.830,3.213
194750,-0.811,2.979
195000,-0.811,2.783
195250,-0.908,2.588
195500,-0.859,2.393
195750,-0.928,2.188
196000,-0.859,1.963
196250,-0.742,1.680
196500,-0.859,1.396
196750,-0.801,1.084
197000,-0.869,0.781
197250,-0.859,0.488
197500,-0.762,0.225
197750,-0.898,-0.039
198000,-0.723,-0.303
198250,-0.859,-0.547
198500,-0.693,-0.781
198750,-0.713,-1.006
199000,-0.566,-1.211
199250,-0.430,-1.377
199500,-0.400,-1.533
199750,-0.234,-1.680
200000,-0.205,-1.826
200250,-0.020,-1.963
200500,-0.127,-2.090
200750,0.039,-2.227
201000,0.127,-2.354
201250,0.215,-2.461
201500,0.166,-2.549
201750,0.283,-2.617
202000,0.303,-2.695
202250,0.361,-2.764
202500,0.264,-2.822
202750,0.273,-2.881
203000,0.371,-2.959
203250,0.391,-3.057
203500,0.508,-3.193
203750,0.459,-3.291
204000,0.596,-3.340
204250,0.605,-3.330
204500,0.586,-3.252
204750,0.654,-3.037
205000,0.518,-2.822
205250,0.615,-2.627
205500,0.654,-2.432
205750,0.557,-2.236
206000,0.625,-2.002
206250,0.479,-1.719
206500,0.674,-1.436
206750,0.605,-1.123
207000,0.430,-0.830
207250,0.566,-0.527
207500,0.518,-0.264
207750,0.557,0.000
208000,0.420,0.264
208250,0.557,0.508
208500,0.479,0.762
208750,0.439,0.967
209000,0.313,1.152
209250,0.215,1.348
209500,0.049,1.504
209750,0.049,1.680
210000,-0.098,1.816
210250,-0.156,1.934
210500,-0.313,2.080
210750,-0.283,2.207
211000,-0.381,2.334
211250,-0.391,2.441
211500,-0.410,2.520
211750,-0.488,2.607
212000,-0.518,2.666
212250,-0.674,2.725
212500,-0.605,2.803
212750,-0.762,2.852
213000,-0.654,2.939
213250,-0.713,3.057
213500,-0.732,3.174
213750,-0.684,3.281
214000,-0.811,3.340
214250,-0.762,3.311
214500,-0.781,3.223
214750,-0.908,2.988
215000,-0.830,2.783
215250,-0.850,2.588
215500,-0.791,2.393
215750,-0.830,2.197
216000,-0.898,1.953
216250,-0.889,1.709
216500,-0.928,1.416
216750,-0.811,1.074
